Run,Iteration,agent-0,agent-1,agent-2,agent-3,agent-4,agent-5,agent-6,agent-7,agent-8,agent-9,agent-10,agent-11,agent-12,agent-13,agent-14,agent-15,agent-16,agent-17,agent-18,agent-19,agent-20,agent-21,agent-22,agent-23,agent-24,agent-25,agent-26,agent-27,agent-28,agent-29,agent-30,agent-31,agent-32,agent-33,agent-34,agent-35,agent-36,agent-37,agent-38,agent-39,agent-40,agent-41,agent-42,agent-43,agent-44,agent-45,agent-46,agent-47,agent-48,agent-49,agent-50,agent-51,agent-52,agent-53,agent-54,agent-55,agent-56,agent-57,agent-58,agent-59,agent-60,agent-61,agent-62
0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,0,1,0,2,1,0,0,0,1,0,1,4,0,1,3,1,3,0,1,4,1,2,1,0,0,2
0,1,0,0,0,0,1,0,0,1,0,4,4,0,4,2,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,2,1,0,0,2,1,0,0,0,1,0,1,4,0,1,3,1,3,0,1,4,4,2,1,0,0,2
0,2,0,0,0,0,1,0,0,1,0,4,4,0,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,0,2,1,0,0,2,1,3,2,0,1,0,4,4,0,1,3,4,3,0,1,4,4,0,1,0,2,2
0,3,0,1,0,0,1,3,0,1,0,4,0,4,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,1,1,0,0,1,0,1,1,2,3,0,0,2,1,3,2,0,1,0,4,1,0,1,3,4,3,0,1,4,4,0,1,0,2,2
0,4,0,1,0,0,1,3,0,1,0,4,0,4,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,2,1,0,2,1,0,1,1,2,3,0,0,0,1,4,2,0,1,0,4,1,0,1,3,4,3,0,1,4,4,3,4,0,0,2
0,5,0,1,2,0,1,3,4,1,0,4,0,4,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,2,1,0,2,2,0,1,1,2,3,0,0,0,1,3,2,0,1,0,4,1,0,1,3,4,3,0,1,4,4,3,4,0,1,2
0,6,0,1,1,0,1,3,0,1,0,4,0,4,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,2,0,0,2,2,0,1,1,2,3,0,0,0,1,3,2,0,2,0,4,1,0,1,3,4,3,0,1,4,4,3,4,0,1,2
0,7,0,1,1,0,1,3,0,1,0,4,0,4,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,2,0,0,2,2,0,1,1,2,3,0,0,0,3,3,2,0,2,0,4,1,0,1,3,4,3,0,1,4,4,3,4,0,1,2
0,8,0,1,1,0,1,3,1,1,0,4,0,4,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,2,0,0,2,2,0,1,1,2,3,0,0,0,3,3,2,0,2,0,4,1,0,1,3,4,3,0,1,4,4,3,4,0,1,2
0,9,0,1,1,0,1,3,1,1,0,1,0,4,4,2,3,0,2,0,1,2,0,1,1,0,0,0,0,0,2,0,0,2,2,0,1,1,2,3,0,0,0,3,3,2,0,2,0,4,1,0,1,3,4,3,0,1,4,4,3,4,0,1,2
